,cep,up_lat,up_long
593,02451000,-23.4995928,-46.6416124
594,02465000,-23.4976918,-46.642142
595,02405000,-23.4829368,-46.6328254
596,02469000,-23.4858378,-46.6448016
597,02440000,-23.4158708,-46.4963079
598,02408000,-23.4834454,-46.627537114017834
599,02450000,-23.4973177,-46.6374403
600,02411000,-23.4753327,-46.6237289
601,02432000,-22.8759701,-43.3691016
602,02463000,-23.4900722,-46.6452536
603,02423000,-22.9067781,-43.2797009
604,02542000,-23.4896374,-46.6586345
605,02522000,-23.5037216,-46.6547996
606,02536000,-23.4964551,-46.6467539
607,02566000,-23.48367,-46.6697606
608,02519000,-23.499724,-46.6453213
609,02513000,-19.907597,-43.9683386
610,02550000,-23.4699853,-46.6241983
611,02556000,-12.9565362,-38.4586709
612,02544000,-23.4900537,-46.6606964
613,02543000,-23.485635,-46.6647264
614,02560000,-23.4953941,-46.6701686
615,02517000,-23.5060484,-46.6615453
616,02510000,-25.6767434,-48.4574979
617,02518000,-23.5091785,-46.6653891
618,02554000,-23.5010162,-46.6705224
619,02539000,-23.4965059,-46.6593617
620,02530000,-20.3437349,-40.3974401
621,02535000,-4.4293918,-41.4600504
622,02537000,-23.4903142,-46.655395
623,02563000,-23.4898385,-46.6662312
624,02561000,-23.4931789,-46.6751173
625,02555000,-23.4924685,-46.667227
626,02564000,-23.488403,-46.6680395
627,02512000,-23.5132766,-46.6580416
628,02525000,-23.502686,-46.6487512
629,02562000,-23.4878502,-46.6748016
630,02520000,-23.499724,-46.6453213
631,02557000,-23.4985698,-46.6747867
632,02553000,-22.899587,-43.3049076
633,02546000,-23.4865888,-46.6412524
634,02516000,-23.5109971,-46.660109
635,02514000,-23.5076337,-46.6521254
636,02552000,-23.499228,-46.662446
637,02524000,-23.5059132,-46.6508406
638,02540000,-18.8665546,-48.2381397
639,02558000,-23.4943585,-46.6731969
640,02545000,-22.8475632,-43.3265
641,02515000,-23.511273,-46.659288
642,02531000,-23.4994038,-46.6579731
643,02526000,-19.890608,-43.9440701
644,02523000,-22.9211802,-43.2247525
645,02541000,-23.4858558,-46.6564344
646,02567000,-23.4814516,-46.6693852
647,02551000,-23.4996004,-46.6654701
648,02521000,-23.5025601,-46.662892
649,02511000,-23.5032938,-46.6375395
650,02559000,-23.4955067,-46.6772426
651,02532000,-23.4995698,-46.6564228
652,02538000,-23.4997508,-46.6535338
653,02501000,-23.5084661,-46.6897422
654,02610000,-23.4763444,-46.6672696
655,02676000,-23.4563951,-46.6717042
656,02612000,-23.6018814,-45.4287826
657,02632000,-23.4637612,-46.6489845
658,02673000,-23.4511382,-46.6762124
659,02616000,-23.4696578,-46.6526583
660,02615000,-21.7536268,-48.1697957
661,02617000,-23.4665919,-46.6590096
662,02613000,-23.4743892,-46.6589074
663,02630000,-23.463408,-46.6406472
664,02618000,-23.4670098,-46.6508913
665,02651000,-23.4606777,-46.6593796
666,02633000,-23.4620268,-46.6509782
667,02675000,-8.1194046,-38.7299987
668,02611000,-23.4652404,-46.6345268
669,02652000,-23.4638499,-46.6548076
670,02671000,37.1965956,-7.4184793
671,02650000,-23.4596803,-46.6564158
672,02679000,-23.4574056,-46.6639559
673,02674000,-23.4577176,-46.6675495
674,02636000,-19.9415469,-44.1769944
675,02649000,-23.4627778,-46.663431
676,02634000,-23.4590672,-46.6513878
677,02672000,-23.4633386,-46.6669795
678,02614000,-23.4733411,-46.6524292
679,02635000,-19.9311741,-43.9648413
680,02670000,-23.6705592,-46.4967377
681,02678000,-23.4546594,-46.6596388
682,02637000,-23.4548744,-46.6482805
683,02677000,-19.7159623,-43.5832196
684,02631000,-23.4570773,-46.6488323
685,02653000,-20.6871698,-43.3046803
686,02760000,-23.4794025,-46.6815137
687,02712000,-23.5055147,-46.6758026
688,02721000,-23.4800057,-46.6730286
689,02739000,-23.4870637,-46.6928395
690,02710000,-23.5066384,-46.6734798
691,02730000,-22.8669639,-43.3556602
692,02751000,-23.4912604,-46.6820798
693,02765000,-23.4777707,-46.6754673
694,02752000,-23.4941421,-46.6844045
695,02758000,-23.4846875,-46.6825637
696,02764000,-23.4801087,-46.6761809
697,02724000,-23.497191,-46.6806561
698,02755000,-23.48670105,-46.68045112438662
699,02723000,-23.4984765,-46.6804275
